date,maximum,minimum,average,departure,hdd,cdd,percipitation,new_snow,snow_depth
2019-01-01,58.0,39.0,48.5,13.3,16.0,0.0,0.06,0.0,0.0
2019-01-02,40.0,35.0,37.5,2.5,27.0,0.0,0.0,0.0,0.0
2019-01-03,44.0,37.0,40.5,5.7,24.0,0.0,0.0,0.0,0.0
2019-01-04,47.0,35.0,41.0,6.3,24.0,0.0,0.0,0.0,0.0
2019-01-05,47.0,41.0,44.0,9.5,21.0,0.0,0.5,0.0,0.0
2019-01-06,49.0,31.0,40.0,5.6,25.0,0.0,0.001,0.0,0.0
2019-01-07,34.0,25.0,29.5,-4.7,35.0,0.0,0.0,0.0,0.0
2019-01-08,45.0,34.0,39.5,5.4,25.0,0.0,0.17,0.001,0.0
2019-01-09,45.0,34.0,39.5,5.6,25.0,0.0,0.06,0.0,0.0
2019-01-10,34.0,28.0,31.0,-2.8,34.0,0.0,0.0,0.0,0.0
2019-01-11,30.0,21.0,25.5,-8.2,39.0,0.0,0.0,0.0,0.0
2019-01-12,34.0,20.0,27.0,-6.6,38.0,0.0,0.0,0.0,0.0
2019-01-13,33.0,25.0,29.0,-4.5,36.0,0.0,0.001,0.001,0.0
2019-01-14,32.0,22.0,27.0,-6.4,38.0,0.0,0.0,0.0,0.0
2019-01-15,36.0,25.0,30.5,-2.9,34.0,0.0,0.0,0.0,0.0
2019-01-16,39.0,30.0,34.5,1.2,30.0,0.0,0.0,0.0,0.0
2019-01-17,33.0,24.0,28.5,-4.8,36.0,0.0,0.0,0.0,0.0
2019-01-18,39.0,29.0,34.0,0.8,31.0,0.0,0.05,0.5,1.0
2019-01-19,37.0,32.0,34.5,1.3,30.0,0.0,0.29,0.2,0.0
2019-01-20,42.0,14.0,28.0,-5.2,37.0,0.0,0.88,0.0,0.0
2019-01-21,14.0,4.0,9.0,-24.1,56.0,0.0,0.0,0.0,0.0
2019-01-22,31.0,13.0,22.0,-11.1,43.0,0.0,0.0,0.0,0.0
2019-01-23,52.0,31.0,41.5,8.3,23.0,0.0,0.001,0.0,0.0
2019-01-24,59.0,35.0,47.0,13.8,18.0,0.0,1.33,0.0,0.0
2019-01-25,40.0,28.0,34.0,0.8,31.0,0.0,0.0,0.0,0.0
2019-01-26,35.0,24.0,29.5,-3.7,35.0,0.0,0.0,0.0,0.0
2019-01-27,49.0,32.0,40.5,7.2,24.0,0.0,0.0,0.0,0.0
2019-01-28,38.0,25.0,31.5,-1.9,33.0,0.0,0.0,0.0,0.0
2019-01-29,43.0,25.0,34.0,0.6,31.0,0.0,0.23,0.001,0.0
2019-01-30,35.0,6.0,20.5,-13.0,44.0,0.0,0.01,0.4,0.0
2019-01-31,16.0,2.0,9.0,-24.6,56.0,0.0,0.0,0.0,0.0
2019-02-01,21.0,11.0,16.0,-17.7,49.0,0.0,0.0,0.0,0.0
2019-02-02,34.0,16.0,25.0,-8.8,40.0,0.0,0.0,0.0,0.0
2019-02-03,53.0,33.0,43.0,9.1,22.0,0.0,0.0,0.0,0.0
2019-02-04,61.0,41.0,51.0,17.0,14.0,0.0,0.0,0.0,0.0
2019-02-05,65.0,44.0,54.5,20.3,10.0,0.0,0.0,0.0,0.0
2019-02-06,46.0,35.0,40.5,6.2,24.0,0.0,0.45,0.0,0.0
2019-02-07,44.0,39.0,41.5,7.1,23.0,0.0,0.07,0.0,0.0
2019-02-08,55.0,32.0,43.5,8.9,21.0,0.0,0.37,0.0,0.0
2019-02-09,32.0,23.0,27.5,-7.3,37.0,0.0,0.0,0.0,0.0
2019-02-10,35.0,23.0,29.0,-5.9,36.0,0.0,0.0,0.0,0.0
2019-02-11,38.0,30.0,34.0,-1.1,31.0,0.0,0.001,0.001,0.0
2019-02-12,36.0,26.0,31.0,-4.3,34.0,0.0,0.75,1.2,0.0
2019-02-13,41.0,33.0,37.0,1.6,28.0,0.0,0.08,0.001,1.0
2019-02-14,46.0,33.0,39.5,3.9,25.0,0.0,0.001,0.001,0.0
2019-02-15,59.0,42.0,50.5,14.7,14.0,0.0,0.0,0.0,0.0
2019-02-16,47.0,32.0,39.5,3.5,25.0,0.0,0.0,0.0,0.0
2019-02-17,38.0,26.0,32.0,-4.2,33.0,0.0,0.04,0.0,0.0
2019-02-18,42.0,26.0,34.0,-2.4,31.0,0.0,0.09,0.0,0.0
2019-02-19,36.0,23.0,29.5,-7.1,35.0,0.0,0.0,0.0,0.0
2019-02-20,33.0,26.0,29.5,-7.3,35.0,0.0,0.57,1.3,0.0
2019-02-21,52.0,33.0,42.5,5.5,22.0,0.0,0.1,0.0,1.0
2019-02-22,44.0,36.0,40.0,2.8,25.0,0.0,0.0,0.0,0.0
2019-02-23,42.0,32.0,37.0,-0.4,28.0,0.0,0.01,0.0,0.0
2019-02-24,47.0,36.0,41.5,3.9,23.0,0.0,0.58,0.0,0.0
2019-02-25,43.0,28.0,35.5,-2.4,29.0,0.0,0.001,0.0,0.0
2019-02-26,36.0,25.0,30.5,-7.6,34.0,0.0,0.0,0.0,0.0
2019-02-27,31.0,23.0,27.0,-11.3,38.0,0.0,0.001,0.001,0.0
2019-02-28,37.0,27.0,32.0,-6.5,33.0,0.0,0.03,0.1,0.001
2019-03-01,35.0,26.0,30.5,-8.3,34.0,0.0,0.11,1.4,1.0
2019-03-02,41.0,31.0,36.0,-3.0,29.0,0.0,0.53,4.0,4.0
2019-03-03,42.0,33.0,37.5,-1.7,27.0,0.0,0.52,3.0,1.0
2019-03-04,38.0,28.0,33.0,-6.5,32.0,0.0,0.29,2.0,4.0
2019-03-05,32.0,20.0,26.0,-13.7,39.0,0.0,0.0,0.0,2.0
2019-03-06,26.0,19.0,22.5,-17.5,42.0,0.0,0.001,0.001,1.0
2019-03-07,32.0,18.0,25.0,-15.2,40.0,0.0,0.0,0.0,1.0
2019-03-08,39.0,24.0,31.5,-9.0,33.0,0.0,0.0,0.0,0.0
2019-03-09,49.0,34.0,41.5,0.8,23.0,0.0,0.0,0.0,0.0
2019-03-10,43.0,35.0,39.0,-2.0,26.0,0.0,0.54,0.0,0.0
2019-03-11,53.0,39.0,46.0,4.8,19.0,0.0,0.0,0.0,0.0
2019-03-12,44.0,34.0,39.0,-2.5,26.0,0.0,0.0,0.0,0.0
2019-03-13,49.0,32.0,40.5,-1.3,24.0,0.0,0.0,0.0,0.0
2019-03-14,57.0,42.0,49.5,7.4,15.0,0.0,0.0,0.0,0.0
2019-03-15,75.0,49.0,62.0,19.7,3.0,0.0,0.39,0.0,0.0
2019-03-16,58.0,37.0,47.5,4.9,17.0,0.0,0.0,0.0,0.0
2019-03-17,45.0,34.0,39.5,-3.4,25.0,0.0,0.0,0.0,0.0
2019-03-18,46.0,32.0,39.0,-4.2,26.0,0.0,0.0,0.0,0.0
2019-03-19,51.0,35.0,43.0,-0.5,22.0,0.0,0.0,0.0,0.0
2019-03-20,53.0,37.0,45.0,1.1,20.0,0.0,0.0,0.0,0.0
2019-03-21,46.0,41.0,43.5,-0.7,21.0,0.0,0.75,0.0,0.0
2019-03-22,49.0,38.0,43.5,-1.0,21.0,0.0,0.68,0.0,0.0
2019-03-23,48.0,35.0,41.5,-3.3,23.0,0.0,0.0,0.0,0.0
2019-03-24,60.0,38.0,49.0,3.8,16.0,0.0,0.0,0.0,0.0
2019-03-25,56.0,42.0,49.0,3.5,16.0,0.0,0.001,0.0,0.0
2019-03-26,49.0,33.0,41.0,-4.9,24.0,0.0,0.0,0.0,0.0
2019-03-27,47.0,34.0,40.5,-5.7,24.0,0.0,0.0,0.0,0.0
2019-03-28,53.0,37.0,45.0,-1.6,20.0,0.0,0.001,0.0,0.0
2019-03-29,59.0,49.0,54.0,7.1,11.0,0.0,0.001,0.0,0.0
2019-03-30,70.0,52.0,61.0,13.7,4.0,0.0,0.0,0.0,0.0
2019-03-31,65.0,39.0,52.0,4.3,13.0,0.0,0.06,0.0,0.0
2019-04-01,46.0,33.0,39.5,-8.6,25.0,0.0,0.0,0.0,0.0
2019-04-02,52.0,39.0,45.5,-2.9,19.0,0.0,0.001,0.0,0.0
2019-04-03,67.0,41.0,54.0,5.2,11.0,0.0,0.0,0.0,0.0
2019-04-04,60.0,44.0,52.0,2.8,13.0,0.0,0.0,0.0,0.0
2019-04-05,45.0,38.0,41.5,-8.1,23.0,0.0,0.2,0.0,0.0
